,class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
20,shadow ,1.65,213,1.24,65.47,1.4,1.75,50.66,68.69,77.07,13.4,15.93,16.28,1.77,0.57,0.81,6.68,1.83,0.53,-0.15,102,3325.36,1.06,257,0.42,75.72,1.16,1.15,60.42,79.39,87.35,27.8,29.85,29.09,1.77,0.65,0.89,6.97,1.98,0.52,-0.14,74,2354.85,1.61,436,1.3,82.63,1.76,1.77,68.5,86.19,93.19,34.95,38.36,36.71,2.13,0.72,0.78,7.48,1.68,0.76,-0.11,148,2342.35,1.61,436,1.3,82.63,1.76,1.77,68.5,86.19,93.19,34.95,38.36,36.71,2.13,0.72,0.78,7.48,1.68,0.76,-0.11,148,2342.35,1.61,436,1.3,82.63,1.76,1.77,68.5,86.19,93.19,34.95,38.36,36.71,2.13,0.72,0.78,7.48,1.68,0.76,-0.11,148,2342.35,1.61,436,1.3,82.63,1.76,1.77,68.5,86.19,93.19,34.95,38.36,36.71,2.13,0.72,0.78,7.48,1.68,0.76,-0.11,148,2342.35,3.93,4930,2.16,127.08,3.69,4.09,132.64,120.53,128.07,63.03,52.9,51.35,1.64,0.91,0.61,8.86,1.41,0.6,0.05,1148,640.07
21,building ,1.81,289,1.04,222.9,2.18,1.91,187.27,237.65,243.8,6.2,6.25,5.98,1.43,0.43,0.78,6.26,1.89,0.43,-0.12,130,3563.97,1.81,289,1.04,222.9,2.18,1.91,187.27,237.65,243.8,6.2,6.25,5.98,1.43,0.43,0.78,6.26,1.89,0.43,-0.12,130,3563.97,1.17,8979,0.48,234.35,1.16,1.77,199.53,251.26,252.27,7.75,5.16,4.05,6.91,0.54,0.94,6.66,1.21,0.97,-0.11,672,2311.75,1.17,8979,0.48,234.35,1.16,1.77,199.53,251.26,252.27,7.75,5.16,4.05,6.91,0.54,0.94,6.66,1.21,0.97,-0.11,672,2311.75,1.17,8979,0.48,234.35,1.16,1.77,199.53,251.26,252.27,7.75,5.16,4.05,6.91,0.54,0.94,6.66,1.21,0.97,-0.11,672,2311.75,1.17,8979,0.48,234.35,1.16,1.77,199.53,251.26,252.27,7.75,5.16,4.05,6.91,0.54,0.94,6.66,1.21,0.97,-0.11,672,2311.75,1.17,8979,0.48,234.35,1.16,1.77,199.53,251.26,252.27,7.75,5.16,4.05,6.91,0.54,0.94,6.66,1.21,0.97,-0.11,672,2311.75
22,tree ,1.57,81,0.98,153.14,1.74,1.83,205.58,118.19,135.65,21.86,16.8,16.83,2.23,0.81,0.83,6.33,1.55,0.72,0.27,66,1451.51,2.54,253,1.77,143.05,2.63,2.8,198.8,107.36,122.98,28.5,18.85,19.27,2.06,0.84,0.58,7.39,1.37,0.71,0.3,178,1272.94,2.95,1516,2.08,152.05,2.79,3.03,193.19,125.77,137.18,29.64,24.79,21.61,1.4,0.89,0.63,8.28,1.72,0.5,0.21,472,723.61,3.62,2108,1.93,144.59,2.79,3.87,186.1,117.52,130.16,30.98,26.07,23.1,1.95,0.91,0.54,8.53,1.56,0.73,0.23,710,639.7,3.6,2627,1.7,149.58,2.47,3.79,187.42,125.09,136.23,28.75,29.93,26.15,1.86,0.89,0.56,8.51,1.56,0.58,0.2,778,748.62,3.6,2627,1.7,149.58,2.47,3.79,187.42,125.09,136.23,28.75,29.93,26.15,1.86,0.89,0.56,8.51,1.56,0.58,0.2,778,748.62,3.6,2627,1.7,149.58,2.47,3.79,187.42,125.09,136.23,28.75,29.93,26.15,1.86,0.89,0.56,8.51,1.56,0.58,0.2,778,748.62
23,tree ,1.94,48,1.15,139.17,2.25,2.24,184.88,110.23,122.4,18.78,12.88,12.21,3.0,0.8,0.58,6.02,1.26,0.77,0.25,62,2183.92,1.48,83,0.71,126.77,2.02,1.7,168.53,100.07,111.71,27.83,16.76,17.08,2.63,0.87,0.75,6.46,1.54,0.75,0.25,62,1116.71,4.12,1307,2.08,101.59,4.18,4.16,95.8,102.16,106.8,41.24,39.6,38.0,1.08,0.83,0.29,8.8,1.31,0.34,-0.03,602,1315.3,4.12,1307,2.08,101.59,4.18,4.16,95.8,102.16,106.8,41.24,39.6,38.0,1.08,0.83,0.29,8.8,1.31,0.34,-0.03,602,1315.3,4.11,1712,2.04,109.84,4.23,4.22,116.19,103.35,109.99,54.47,36.93,36.3,1.44,0.91,0.39,8.75,1.31,0.5,0.06,698,660.8,3.91,3551,1.85,122.13,2.67,4.2,120.76,121.38,124.24,56.39,55.37,52.61,2.05,0.89,0.52,9.09,1.5,0.61,0.0,1002,783.61,3.91,3551,1.85,122.13,2.67,4.2,120.76,121.38,124.24,56.39,55.37,52.61,2.05,0.89,0.52,9.09,1.5,0.61,0.0,1002,783.61
24,grass ,2.33,96,1.41,158.33,2.13,2.5,193.7,136.81,144.48,5.26,4.91,5.02,1.42,0.18,0.7,5.74,1.62,0.48,0.17,98,4911.79,3.54,1263,2.35,160.59,3.23,3.78,188.6,144.88,148.3,11.63,12.86,10.29,1.86,0.75,0.47,7.05,1.27,0.72,0.13,538,1277.7,2.07,3555,1.43,158.92,1.93,2.1,190.76,140.13,145.87,10.3,15.09,12.08,1.13,0.72,0.76,7.07,1.99,0.55,0.15,502,1522.11,1.69,6695,1.2,163.38,1.22,1.7,190.77,148.09,151.28,11.87,16.87,13.39,1.01,0.8,0.91,7.32,2.29,0.03,0.13,558,1215.35,1.69,6695,1.2,163.38,1.22,1.7,190.77,148.09,151.28,11.87,16.87,13.39,1.01,0.8,0.91,7.32,2.29,0.03,0.13,558,1215.35,1.69,6695,1.2,163.38,1.22,1.7,190.77,148.09,151.28,11.87,16.87,13.39,1.01,0.8,0.91,7.32,2.29,0.03,0.13,558,1215.35,1.69,6695,1.2,163.38,1.22,1.7,190.77,148.09,151.28,11.87,16.87,13.39,1.01,0.8,0.91,7.32,2.29,0.03,0.13,558,1215.35
25,building ,2.5,457,1.28,223.94,1.73,2.57,192.53,237.93,241.38,6.76,8.16,8.51,1.2,0.5,0.8,6.51,1.96,0.22,-0.11,220,3266.56,2.63,2811,1.33,227.11,1.64,2.71,196.68,240.68,243.95,8.27,9.02,9.05,1.42,0.61,0.83,6.89,2.06,0.42,-0.1,574,2383.17,3.36,3964,1.27,227.97,1.69,3.57,197.36,241.67,244.88,7.99,8.61,8.54,1.98,0.6,0.77,6.86,1.84,0.66,-0.1,900,2414.5,3.36,3964,1.27,227.97,1.69,3.57,197.36,241.67,244.88,7.99,8.61,8.54,1.98,0.6,0.77,6.86,1.84,0.66,-0.1,900,2414.5,2.98,15358,1.65,218.83,2.11,3.6,194.0,229.59,232.89,19.81,19.85,19.62,3.52,0.84,0.63,7.69,1.18,0.94,-0.08,1786,857.09,2.9,15433,1.64,218.43,2.1,3.51,193.6,229.18,232.5,20.84,20.96,20.64,3.52,0.85,0.63,7.71,1.19,0.94,-0.08,1744,812.15,2.9,15433,1.64,218.43,2.1,3.51,193.6,229.18,232.5,20.84,20.96,20.64,3.52,0.85,0.63,7.71,1.19,0.94,-0.08,1744,812.15
26,tree ,1.76,71,1.49,163.45,2.46,2.2,212.7,131.62,146.03,19.36,17.5,14.76,3.57,0.68,0.56,6.17,1.1,0.86,0.24,74,1987.93,2.89,575,2.6,176.89,3.65,3.32,213.5,152.77,164.41,20.51,19.82,17.65,2.68,0.81,0.39,7.69,0.97,0.87,0.17,318,1269.65,2.47,625,2.42,172.05,3.36,2.82,207.88,148.44,159.83,28.44,25.13,24.1,2.68,0.87,0.41,7.78,1.01,0.88,0.17,282,796.28,4.79,1706,2.43,177.22,3.9,5.16,186.59,169.31,175.77,40.43,45.09,41.81,2.02,0.88,0.48,8.69,1.18,0.84,0.05,852,879.63,4.79,1706,2.43,177.22,3.9,5.16,186.59,169.31,175.77,40.43,45.09,41.81,2.02,0.88,0.48,8.69,1.18,0.84,0.05,852,879.63,2.83,3343,1.88,145.9,2.8,3.25,151.12,139.96,146.62,61.1,52.38,50.38,2.84,0.94,0.58,8.66,1.25,0.88,0.04,752,399.18,3.55,7129,1.81,155.63,2.6,4.52,165.81,148.5,152.57,57.59,53.44,48.83,4.17,0.95,0.51,8.72,0.92,0.97,0.06,1526,378.44
27,tree ,3.18,172,2.27,91.02,3.97,4.0,123.98,69.82,79.24,16.47,12.53,12.95,3.68,0.74,0.41,7.12,0.81,0.94,0.28,210,2673.02,3.67,258,2.3,87.43,3.99,4.11,113.47,71.5,77.33,22.96,14.29,13.53,2.33,0.84,0.25,7.46,0.96,0.79,0.23,264,1411.01,1.77,826,1.08,69.68,1.76,1.88,90.65,55.68,62.71,25.11,15.3,14.85,1.75,0.89,0.75,7.95,1.79,0.71,0.24,216,832.79,1.77,826,1.08,69.68,1.76,1.88,90.65,55.68,62.71,25.11,15.3,14.85,1.75,0.89,0.75,7.95,1.79,0.71,0.24,216,832.79,1.77,826,1.08,69.68,1.76,1.88,90.65,55.68,62.71,25.11,15.3,14.85,1.75,0.89,0.75,7.95,1.79,0.71,0.24,216,832.79,1.77,826,1.08,69.68,1.76,1.88,90.65,55.68,62.71,25.11,15.3,14.85,1.75,0.89,0.75,7.95,1.79,0.71,0.24,216,832.79,1.77,826,1.08,69.68,1.76,1.88,90.65,55.68,62.71,25.11,15.3,14.85,1.75,0.89,0.75,7.95,1.79,0.71,0.24,216,832.79
28,grass ,2.0,304,1.43,156.08,2.39,2.24,219.78,113.65,134.81,10.41,8.5,9.39,2.1,0.78,0.66,6.78,1.56,0.74,0.32,156,1508.96,1.9,915,0.96,156.69,1.81,2.26,209.3,121.61,139.17,14.96,12.49,10.55,3.13,0.87,0.81,7.4,1.56,0.84,0.26,274,875.1,2.62,2588,2.26,163.01,3.05,2.73,210.06,130.96,148.0,16.46,17.21,15.83,1.71,0.8,0.66,7.7,1.59,0.65,0.23,556,1155.07,2.34,2696,1.88,160.8,2.93,2.44,207.21,129.17,146.01,22.13,19.45,18.77,1.71,0.84,0.68,7.76,1.64,0.66,0.23,506,760.0,2.36,3113,1.72,164.44,2.53,2.46,207.3,135.61,150.41,22.87,26.71,22.72,1.71,0.83,0.68,7.84,1.71,0.53,0.21,548,793.13,3.1,5312,1.99,171.48,3.71,3.23,212.72,144.87,156.85,24.64,32.32,27.69,1.72,0.87,0.55,7.98,1.45,0.74,0.19,942,724.31,4.0,9773,1.74,166.02,3.11,4.07,214.23,134.86,148.96,31.68,31.81,28.82,1.32,0.89,0.58,8.3,1.75,0.59,0.23,1608,651.56
29,concrete ,1.59,334,0.9,238.31,1.77,1.7,212.41,251.49,251.04,8.45,6.21,6.52,1.86,0.46,0.84,6.62,1.79,0.69,-0.08,124,3128.31,2.47,1031,2.14,237.05,3.44,2.69,216.48,246.98,247.68,13.58,13.24,12.16,2.16,0.62,0.17,7.39,0.96,0.88,-0.07,346,2317.49,2.47,1031,2.14,237.05,3.44,2.69,216.48,246.98,247.68,13.58,13.24,12.16,2.16,0.62,0.17,7.39,0.96,0.88,-0.07,346,2317.49,3.33,1725,2.41,229.12,5.46,4.53,216.33,234.67,236.37,16.83,23.14,21.54,5.09,0.69,0.34,7.87,0.75,0.96,-0.04,752,2203.45,3.33,1725,2.41,229.12,5.46,4.53,216.33,234.67,236.37,16.83,23.14,21.54,5.09,0.69,0.34,7.87,0.75,0.96,-0.04,752,2203.45,5.33,18554,3.56,224.12,8.75,6.52,202.57,233.93,235.86,13.87,15.77,14.91,3.68,0.75,0.33,7.46,0.63,0.98,-0.07,3550,1419.67,5.33,18554,3.56,224.12,8.75,6.52,202.57,233.93,235.86,13.87,15.77,14.91,3.68,0.75,0.33,7.46,0.63,0.98,-0.07,3550,1419.67
30,concrete ,2.47,794,2.05,243.57,2.9,2.63,226.45,252.13,252.13,8.11,4.39,4.57,1.78,0.63,0.51,6.74,1.36,0.76,-0.05,296,2590.33,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01,3.34,1566,1.63,242.37,2.34,3.46,225.28,250.23,251.6,11.69,8.0,6.35,1.66,0.65,0.51,7.19,1.57,0.41,-0.05,548,2353.01
31,soil ,1.38,88,0.58,198.1,1.55,1.55,203.06,195.07,196.18,14.29,16.98,17.3,2.13,0.65,0.82,6.38,1.65,0.71,0.02,58,2601.83,3.33,567,1.58,185.91,2.92,3.42,202.18,177.06,178.49,16.42,17.01,16.54,1.28,0.74,0.58,7.63,1.7,0.14,0.07,326,1830.63,3.33,567,1.58,185.91,2.92,3.42,202.18,177.06,178.49,16.42,17.01,16.54,1.28,0.74,0.58,7.63,1.7,0.14,0.07,326,1830.63,3.95,4544,1.52,172.16,3.14,4.6,201.1,156.17,159.2,25.4,25.68,24.11,3.03,0.85,0.56,8.58,1.22,0.91,0.13,1240,1020.43,4.93,5643,2.53,174.66,4.53,4.96,201.85,159.56,162.57,23.97,25.39,23.89,1.09,0.84,0.41,8.54,1.3,0.69,0.12,1490,1075.63,5.16,11207,2.25,175.41,3.92,5.41,196.36,164.12,165.74,23.4,24.83,22.91,1.8,0.85,0.48,8.6,1.33,0.73,0.09,2290,1054.43,5.44,16619,2.01,175.58,3.9,5.66,194.0,165.54,167.22,22.96,26.15,24.81,1.69,0.86,0.32,8.58,1.23,0.79,0.08,2918,968.36
32,concrete ,1.85,262,0.89,223.38,1.79,1.95,194.91,237.03,238.21,6.84,7.11,7.67,1.44,0.46,0.82,6.44,1.91,0.51,-0.1,126,3690.98,2.03,333,1.26,221.54,1.95,2.05,194.75,234.42,235.44,8.92,9.69,10.22,1.04,0.55,0.76,6.71,1.96,0.36,-0.09,150,3042.83,2.03,333,1.26,221.54,1.95,2.05,194.75,234.42,235.44,8.92,9.69,10.22,1.04,0.55,0.76,6.71,1.96,0.36,-0.09,150,3042.83,4.36,7764,2.45,200.71,4.17,4.58,174.04,213.36,214.75,12.93,13.83,13.92,1.78,0.81,0.45,7.52,1.2,0.76,-0.1,1614,1259.54,4.3,7790,2.45,200.35,4.16,4.51,173.69,212.98,214.38,14.27,15.37,15.33,1.78,0.81,0.45,7.53,1.2,0.76,-0.1,1592,1081.0,4.3,7790,2.45,200.35,4.16,4.51,173.69,212.98,214.38,14.27,15.37,15.33,1.78,0.81,0.45,7.53,1.2,0.76,-0.1,1592,1081.0,4.67,13762,2.07,203.63,4.25,4.81,177.77,215.74,217.39,22.54,24.66,24.55,1.55,0.81,0.47,8.08,1.42,0.67,-0.1,2258,989.28
33,building ,2.25,1259,1.05,225.38,1.98,2.28,194.09,242.74,239.32,7.26,6.98,6.96,1.08,0.42,0.84,6.52,2.18,0.19,-0.11,324,2937.3,1.52,1603,0.94,227.44,1.56,1.54,196.02,244.85,241.44,7.94,7.57,7.75,1.08,0.59,0.81,6.71,2.16,0.44,-0.11,246,2437.72,2.37,2834,1.24,227.96,1.85,2.42,198.68,245.16,240.04,10.56,9.21,9.5,1.41,0.72,0.67,7.12,2.01,0.34,-0.1,516,1741.27,2.1,3130,1.2,225.72,1.68,2.16,197.33,242.41,237.42,13.65,13.81,13.79,1.41,0.8,0.71,7.39,2.07,0.33,-0.1,484,1347.06,1.86,3556,1.12,222.61,1.49,1.9,194.64,238.95,234.23,15.66,16.57,16.15,1.43,0.83,0.75,7.59,2.1,0.4,-0.1,454,1156.52,2.77,4566,1.77,225.62,2.39,2.79,202.18,239.12,235.57,20.84,18.62,17.57,1.01,0.89,0.62,7.94,1.82,0.35,-0.08,754,750.1,5.71,33153,2.7,222.94,6.32,7.26,199.12,235.15,234.54,16.64,14.57,14.26,4.21,0.85,0.29,7.81,0.68,0.95,-0.08,5284,969.36
34,concrete ,2.17,2055,1.04,227.09,2.0,2.97,203.57,238.42,239.28,7.51,7.23,6.95,5.23,0.56,0.84,6.71,1.38,0.93,-0.08,538,2555.61,2.03,3286,1.42,226.88,2.44,2.59,203.03,238.54,239.07,9.63,9.44,8.57,4.14,0.68,0.7,7.11,1.18,0.95,-0.08,594,1937.84,2.14,6054,1.17,224.52,2.53,3.23,201.28,235.8,236.49,9.23,9.48,8.98,6.9,0.68,0.69,7.06,0.91,0.99,-0.08,1004,1965.53,3.06,13448,2.0,225.48,4.01,4.85,202.54,236.8,237.1,10.58,10.18,9.74,7.83,0.71,0.48,7.15,0.61,1.0,-0.08,2248,1656.64,3.44,14587,1.99,225.83,4.07,5.26,203.61,237.2,236.68,11.85,10.98,10.25,7.13,0.75,0.47,7.25,0.66,0.99,-0.08,2540,1433.38,3.44,14587,1.99,225.83,4.07,5.26,203.61,237.2,236.68,11.85,10.98,10.25,7.13,0.75,0.47,7.25,0.66,0.99,-0.08,2540,1433.38,3.44,14587,1.99,225.83,4.07,5.26,203.61,237.2,236.68,11.85,10.98,10.25,7.13,0.75,0.47,7.25,0.66,0.99,-0.08,2540,1433.38
35,shadow ,1.5,200,0.79,45.62,1.68,1.59,55.13,37.3,44.42,16.98,7.9,9.11,1.31,0.85,0.82,6.73,1.94,0.38,0.19,90,1156.63,1.5,200,0.79,45.62,1.68,1.59,55.13,37.3,44.42,16.98,7.9,9.11,1.31,0.85,0.82,6.73,1.94,0.38,0.19,90,1156.63,1.5,200,0.79,45.62,1.68,1.59,55.13,37.3,44.42,16.98,7.9,9.11,1.31,0.85,0.82,6.73,1.94,0.38,0.19,90,1156.63,2.11,586,2.06,71.59,2.87,2.31,84.68,61.02,69.06,36.42,31.16,31.52,2.0,0.88,0.65,7.98,1.44,0.78,0.16,224,941.07,2.11,586,2.06,71.59,2.87,2.31,84.68,61.02,69.06,36.42,31.16,31.52,2.0,0.88,0.65,7.98,1.44,0.78,0.16,224,941.07,1.7,880,1.23,98.12,1.91,1.8,122.42,80.88,91.08,64.86,44.05,45.4,2.0,0.95,0.75,8.06,1.78,0.72,0.2,214,353.99,3.48,3983,2.13,127.46,3.08,3.53,148.53,113.32,120.55,60.98,52.12,51.4,1.28,0.94,0.56,8.82,1.61,0.55,0.13,890,439.32
36,pool ,1.09,111,0.39,173.27,1.29,1.14,90.38,184.48,244.95,9.82,19.11,11.86,1.18,0.7,0.87,6.19,1.97,0.3,-0.34,48,2354.58,1.09,111,0.39,173.27,1.29,1.14,90.38,184.48,244.95,9.82,19.11,11.86,1.18,0.7,0.87,6.19,1.97,0.3,-0.34,48,2354.58,1.28,240,0.73,194.7,1.5,1.32,129.98,211.42,242.71,44.58,31.65,13.71,1.0,0.94,0.85,7.17,2.05,0.3,-0.24,82,443.22,1.28,240,0.73,194.7,1.5,1.32,129.98,211.42,242.71,44.58,31.65,13.71,1.0,0.94,0.85,7.17,2.05,0.3,-0.24,82,443.22,1.08,320,0.28,168.32,1.25,1.12,110.67,180.72,213.58,54.15,63.31,56.74,1.11,0.91,0.92,7.38,2.17,0.17,-0.24,80,607.73,3.01,1539,2.5,192.97,4.35,3.07,198.28,185.75,194.87,55.08,48.12,39.2,1.16,0.94,0.53,7.94,1.42,0.51,0.03,482,409.89,3.01,1539,2.5,192.97,4.35,3.07,198.28,185.75,194.87,55.08,48.12,39.2,1.16,0.94,0.53,7.94,1.42,0.51,0.03,482,409.89
37,grass ,2.06,298,1.31,162.26,2.43,2.14,211.16,129.67,145.96,11.43,9.48,9.89,1.16,0.73,0.67,6.92,1.77,0.58,0.24,148,2089.08,2.58,409,1.57,158.04,3.01,2.74,204.83,127.94,141.36,17.94,13.2,13.88,1.57,0.8,0.53,7.31,1.59,0.58,0.23,222,1399.82,1.99,1263,1.22,171.23,1.97,2.04,218.78,139.19,155.71,18.78,17.06,18.77,1.35,0.82,0.76,7.77,2.01,0.53,0.22,290,1189.59,1.99,1263,1.22,171.23,1.97,2.04,218.78,139.19,155.71,18.78,17.06,18.77,1.35,0.82,0.76,7.77,2.01,0.53,0.22,290,1189.59,1.99,1263,1.22,171.23,1.97,2.04,218.78,139.19,155.71,18.78,17.06,18.77,1.35,0.82,0.76,7.77,2.01,0.53,0.22,290,1189.59,1.99,1263,1.22,171.23,1.97,2.04,218.78,139.19,155.71,18.78,17.06,18.77,1.35,0.82,0.76,7.77,2.01,0.53,0.22,290,1189.59,1.99,1263,1.22,171.23,1.97,2.04,218.78,139.19,155.71,18.78,17.06,18.77,1.35,0.82,0.76,7.77,2.01,0.53,0.22,290,1189.59
38,building ,1.38,160,0.6,236.88,1.35,1.58,206.3,251.92,252.43,7.69,3.84,3.85,2.67,0.53,0.86,6.4,1.64,0.79,-0.1,80,3205.53,1.55,307,1.59,232.11,2.04,1.68,203.97,246.86,245.5,10.14,9.76,9.79,1.74,0.57,0.67,6.89,1.55,0.8,-0.1,118,2857.61,1.55,307,1.59,232.11,2.04,1.68,203.97,246.86,245.5,10.14,9.76,9.79,1.74,0.57,0.67,6.89,1.55,0.8,-0.1,118,2857.61,1.36,2309,0.84,215.02,1.5,1.38,191.49,229.21,224.38,22.34,19.97,21.21,1.19,0.87,0.84,7.76,2.22,0.34,-0.09,266,891.18,1.23,2684,0.74,210.49,1.37,1.25,187.36,224.56,219.55,23.42,22.1,23.3,1.26,0.88,0.87,7.91,2.25,0.27,-0.09,260,811.88,1.23,2684,0.74,210.49,1.37,1.25,187.36,224.56,219.55,23.42,22.1,23.3,1.26,0.88,0.87,7.91,2.25,0.27,-0.09,260,811.88,1.23,2684,0.74,210.49,1.37,1.25,187.36,224.56,219.55,23.42,22.1,23.3,1.26,0.88,0.87,7.91,2.25,0.27,-0.09,260,811.88
39,grass ,2.19,286,1.36,172.33,2.26,2.34,185.17,165.7,166.13,9.53,8.89,8.37,1.6,0.69,0.71,6.74,1.71,0.55,0.06,158,2136.79,2.19,286,1.36,172.33,2.26,2.34,185.17,165.7,166.13,9.53,8.89,8.37,1.6,0.69,0.71,6.74,1.71,0.55,0.06,158,2136.79,1.9,883,0.78,183.23,1.55,1.95,192.48,178.78,178.42,11.4,13.82,13.23,1.11,0.73,0.83,7.2,2.16,0.24,0.04,232,1731.63,2.32,2407,1.25,176.36,1.74,2.6,192.17,168.12,168.79,13.26,15.03,14.33,2.49,0.78,0.77,7.34,1.66,0.79,0.07,510,1234.09,2.99,3429,1.75,180.97,3.12,3.99,201.7,169.17,172.06,20.98,16.58,15.44,4.79,0.9,0.64,7.93,1.06,0.93,0.09,934,689.39,2.86,5125,1.59,186.66,2.85,3.46,201.48,178.26,180.25,18.17,20.26,18.91,3.49,0.88,0.67,7.88,1.44,0.82,0.06,990,824.01,2.86,5125,1.59,186.66,2.85,3.46,201.48,178.26,180.25,18.17,20.26,18.91,3.49,0.88,0.67,7.88,1.44,0.82,0.06,990,824.01
40,grass ,3.14,303,1.66,156.03,2.61,3.25,196.11,130.25,141.72,12.68,14.17,12.75,1.3,0.67,0.53,7.09,1.47,0.35,0.2,226,2826.61,3.05,315,1.6,154.74,2.54,3.18,194.72,128.97,140.51,14.35,15.36,13.97,1.28,0.68,0.56,7.16,1.51,0.33,0.2,226,2544.68,4.39,1629,3.4,147.56,7.14,4.73,176.52,128.37,137.8,29.75,28.35,26.9,2.03,0.8,0.06,8.38,0.82,0.68,0.16,764,1294.94,4.21,1810,3.32,146.87,6.85,4.5,172.49,129.77,138.35,38.08,35.82,34.52,2.05,0.84,0.05,8.53,0.8,0.71,0.14,766,979.69,3.45,2546,2.81,146.64,4.88,3.73,172.63,129.25,138.04,48.0,39.78,38.87,2.05,0.91,0.35,8.7,1.1,0.66,0.14,752,616.65,4.53,7660,1.99,148.54,3.02,4.66,178.25,129.59,137.79,42.91,37.83,35.7,1.48,0.9,0.4,9.12,1.43,0.45,0.16,1630,667.1,4.53,7660,1.99,148.54,3.02,4.66,178.25,129.59,137.79,42.91,37.83,35.7,1.48,0.9,0.4,9.12,1.43,0.45,0.16,1630,667.1
41,shadow ,1.59,864,0.94,47.56,1.41,1.87,36.82,48.78,57.09,8.15,8.02,8.36,3.05,0.43,0.85,6.75,1.81,0.73,-0.14,220,3331.33,1.08,1353,0.46,49.12,1.09,1.33,38.29,50.4,58.67,8.84,9.97,10.55,3.7,0.51,0.96,6.96,1.67,0.86,-0.14,196,3063.33,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74,1.07,1377,0.46,49.82,1.07,1.32,38.88,51.21,59.38,10.07,11.89,12.01,3.7,0.52,0.96,7.01,1.69,0.86,-0.14,196,2659.74
